record_type|record_id|source_year|source_file|source_sheet|row_number|programme|key_output|key_indicator|annual_target|achieved_output|variance|status|comment|source_url|source_name|retrieved_at
performance_record|performance_budget_performance_by_program_0151|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|154||07 Clean and safe water supply and basic sanitation services provided|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0152|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|155|||1 Percentage of Health facilities with adequate clean and safe water supply|100|100|0|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0153|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|156||08 Ambulance services Provided|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0154|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|157|||1 Percentage of functional Ambulances|100|67|33|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0155|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|158||01 District health Services coordinated|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0156|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|159|||1 Number of health facilities visited for Technical Support|27|27|0|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0157|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|160|||2 Number of health facilities visited for Performance Assessement quarterly|27|27|0|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0158|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|161||01Hospital services provided|1 Proportion of patient referals made within reccommded timeframe|50|50|0|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0159|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|162|Transport Services||||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0160|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|163||01 Township roads Rehabilitated|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0161|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|164|||1 Kilometers of Township roads rehabilitated|6|6|6|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0162|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|165||02 Solar Street Lights Installed|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0163|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|166|||1 Number of Street Lights Installed|30||30|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0164|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|167||03 Drainages Rehabilitated|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0165|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|168|||1 Kilometers of drainages rehabilitated|5|5|5|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0166|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|169||01 Canals rehabilitated and maintained|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0167|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|170|||1 Kilometers of Canals rehabilitated and maintained|5||5|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0168|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|171||02 Dredgers serviced and maintained|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
